time,ethanol
0.002336449,0.084507042
1,14.05633803
2.014018692,18.78873239
2.995327103,27.12676056
3.992990654,31.85915493
5.007009346,33.66197183
6.004672897,33.66197183
7.002336449,36.14084507
8,35.01408451
