time,concentration
0.018691589,23.97183099
1,24.1971831
1.997663551,26.45070423
2.978971963,26.45070423
3.992990654,28.70422535
4.990654206,30.05633803
6.004672897,29.94366197
7.002336449,30.05633803
8,30.05633803
